age_group,occupation,gender,smartphone_type,screen_time,daily_app_categories,most_used_category,ad_frequency,frequent_ad_format,most_excessive_ad_category,ads_interrupt_usage,ads_cause_frustration,ads_reduce_enjoyment,ads_close_app,ads_uninstall_app,tolerated_ad_format,most_annoying_ad_time,pay_for_adfree,ads_interrupt_usage_score,ads_cause_frustration_score,ads_reduce_enjoyment_score,ads_close_app_score,ad_fatigue_index
18–24,Working professional,Male,Android,4–6 hours,"Social Media, News / Reading","Social Media, Video / OTT",Very often,Unskippable ads,Shopping / E-commerce,Strongly disagree,Agree,Strongly disagree,Agree,Yes,Sponsored content,Morning,No,1.0,4.0,1.0,4.0,2.5
Below 18,Student,Prefer not to say,Android,More than 6 hours,"Gaming, News / Reading",Video / OTT,Rarely,Banner ads,Video / OTT,Neutral,Strongly agree,Strongly agree,Agree,No,Sponsored content,Evening,No,3.0,5.0,5.0,4.0,4.25
45+,Student,Prefer not to say,iOS,4–6 hours,"Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce",Very often,Rewarded ads,News / Reading,Strongly agree,Disagree,Neutral,Strongly agree,Yes,Banner ads,Evening,No,5.0,2.0,3.0,5.0,3.75
18–24,Other,Prefer not to say,iOS,More than 6 hours,"Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Utility / Tools,Very often,Banner ads,Utility / Tools,Agree,Strongly agree,Neutral,Disagree,No,,Morning,Yes,4.0,5.0,3.0,2.0,3.5
35–44,Self-employed,Male,Android,4–6 hours,,"Video / OTT, Gaming, Education",Rarely,Sponsored posts,Gaming,Strongly disagree,Strongly disagree,Strongly agree,Agree,Yes,Rewarded ads,Evening,No,1.0,1.0,5.0,4.0,2.75
35–44,Student,Prefer not to say,iOS,More than 6 hours,"Video / OTT, Shopping / E-commerce, Education","Social Media, Video / OTT, Gaming, News / Reading",Very often,Banner ads,Video / OTT,Neutral,Agree,Strongly agree,Agree,No,Rewarded ads,Late night,No,3.0,4.0,5.0,4.0,4.0
Below 18,Student,Male,Android,More than 6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools",Shopping / E-commerce,Often,Sponsored posts,Gaming,Neutral,Neutral,Strongly disagree,Strongly disagree,No,Rewarded ads,Late night,No,3.0,3.0,1.0,1.0,2.0
18–24,Working professional,Male,iOS,More than 6 hours,"Video / OTT, Gaming, Shopping / E-commerce",,Sometimes,Unskippable ads,Education,Neutral,Agree,Neutral,Agree,Yes,Skippable video ads,Afternoon,No,3.0,4.0,3.0,4.0,3.5
18–24,Working professional,Female,Android,Less than 2 hours,Social Media,"Video / OTT, Shopping / E-commerce",Very often,Video ads,Video / OTT,Strongly agree,Neutral,Strongly disagree,Strongly disagree,No,Banner ads,Evening,Yes,5.0,3.0,1.0,1.0,2.5
18–24,Self-employed,Male,iOS,More than 6 hours,"News / Reading, Utility / Tools","Social Media, Video / OTT, Gaming, Shopping / E-commerce",Rarely,Sponsored posts,Video / OTT,Agree,Strongly disagree,Strongly disagree,Strongly disagree,No,Banner ads,Morning,No,4.0,1.0,1.0,1.0,1.75
35–44,Self-employed,Female,Android,4–6 hours,"Social Media, Education","Social Media, News / Reading",Sometimes,Banner ads,Utility / Tools,Strongly agree,Disagree,Strongly disagree,Neutral,No,,Afternoon,Yes,5.0,2.0,1.0,3.0,2.75
45+,Working professional,Female,Android,More than 6 hours,"Video / OTT, News / Reading, Utility / Tools","Video / OTT, Gaming, Utility / Tools, Education",Often,Unskippable ads,Shopping / E-commerce,Disagree,Agree,Strongly agree,Strongly disagree,Yes,Sponsored content,Evening,No,2.0,4.0,5.0,1.0,3.0
18–24,Self-employed,Male,Android,4–6 hours,"Gaming, News / Reading, Education","Social Media, Shopping / E-commerce",Rarely,Unskippable ads,Shopping / E-commerce,Strongly agree,Strongly agree,Agree,Disagree,No,,Afternoon,Yes,5.0,5.0,4.0,2.0,4.0
18–24,Other,Female,iOS,4–6 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Gaming, Utility / Tools",Often,Unskippable ads,Utility / Tools,Disagree,Neutral,Neutral,Strongly disagree,No,Rewarded ads,Evening,No,2.0,3.0,3.0,1.0,2.25
18–24,Student,Female,iOS,4–6 hours,"Social Media, Video / OTT, Gaming, News / Reading, Utility / Tools",Utility / Tools,Rarely,Video ads,Social Media,Agree,Agree,Strongly agree,Strongly agree,No,Skippable video ads,Late night,Yes,4.0,4.0,5.0,5.0,4.5
25–34,Self-employed,Female,Android,4–6 hours,"Social Media, Shopping / E-commerce, News / Reading",Social Media,Very often,Unskippable ads,News / Reading,Neutral,Disagree,Agree,Strongly disagree,Yes,Rewarded ads,Evening,No,3.0,2.0,4.0,1.0,2.5
Below 18,Self-employed,Prefer not to say,Android,Less than 2 hours,"Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools","Social Media, Shopping / E-commerce, Education",Often,Rewarded ads,Gaming,Agree,Strongly disagree,Disagree,Strongly disagree,Yes,Sponsored content,Late night,No,4.0,1.0,2.0,1.0,2.0
25–34,Other,Male,iOS,More than 6 hours,"Social Media, Shopping / E-commerce","Social Media, Gaming, Utility / Tools",Sometimes,Video ads,News / Reading,Neutral,Strongly disagree,Strongly disagree,Disagree,Yes,Rewarded ads,Afternoon,No,3.0,1.0,1.0,2.0,1.75
18–24,Student,Female,Android,More than 6 hours,Shopping / E-commerce,"Social Media, Video / OTT, Gaming, Utility / Tools",Rarely,Banner ads,Shopping / E-commerce,Strongly agree,Neutral,Neutral,Strongly agree,Yes,Rewarded ads,Late night,Yes,5.0,3.0,3.0,5.0,4.0
18–24,Working professional,Male,iOS,More than 6 hours,"Video / OTT, Gaming, Utility / Tools","Gaming, Education",Often,Video ads,Education,Neutral,Strongly disagree,Strongly agree,Disagree,Yes,Skippable video ads,Evening,No,3.0,1.0,5.0,2.0,2.75
18–24,Other,Male,iOS,4–6 hours,"News / Reading, Utility / Tools","Social Media, Video / OTT, Gaming",Rarely,Unskippable ads,News / Reading,Disagree,Neutral,Disagree,Strongly agree,No,,Afternoon,No,2.0,3.0,2.0,5.0,3.0
18–24,Other,Female,iOS,More than 6 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Video / OTT, News / Reading",Often,Sponsored posts,Shopping / E-commerce,Disagree,Disagree,Disagree,Agree,No,Sponsored content,Evening,No,2.0,2.0,2.0,4.0,2.5
18–24,Other,Female,Android,More than 6 hours,"Video / OTT, Shopping / E-commerce",Education,Very often,Unskippable ads,Utility / Tools,Disagree,Strongly agree,Agree,Agree,Yes,Sponsored content,Evening,Yes,2.0,5.0,4.0,4.0,3.75
35–44,Student,Female,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Video / OTT, Shopping / E-commerce, Utility / Tools",Often,Unskippable ads,News / Reading,Strongly agree,Agree,Disagree,Strongly agree,Yes,Rewarded ads,Morning,Yes,5.0,4.0,2.0,5.0,4.0
18–24,Student,Female,Android,4–6 hours,"Social Media, Shopping / E-commerce, Utility / Tools, Education","Social Media, Shopping / E-commerce, Utility / Tools, Education",Often,Video ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Agree,No,Skippable video ads,Evening,No,5.0,5.0,5.0,4.0,4.75
18–24,Student,Female,Android,More than 6 hours,"Social Media, Shopping / E-commerce, News / Reading","Social Media, Shopping / E-commerce, News / Reading",Often,Video ads,Social Media,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Skippable video ads,Afternoon,No,1.0,1.0,1.0,1.0,1.0
18–24,Student,Male,Android,More than 6 hours,"Social Media, Gaming, Education","Social Media, Gaming, Education",Often,Unskippable ads,Shopping / E-commerce,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Sponsored content,Late night,No,5.0,5.0,5.0,5.0,5.0
25–34,Working professional,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Rarely,Banner ads,Gaming,Agree,Agree,Agree,Agree,Yes,Rewarded ads,Afternoon,No,4.0,4.0,4.0,4.0,4.0
18–24,Student,Female,iOS,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Very often,Video ads,Social Media,Agree,Agree,Agree,Agree,Yes,Skippable video ads,Morning,No,4.0,4.0,4.0,4.0,4.0
18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, News / Reading, Education","Social Media, Video / OTT, News / Reading, Education",Sometimes,Sponsored posts,Shopping / E-commerce,Agree,Neutral,Agree,Agree,Yes,Skippable video ads,Afternoon,Yes,4.0,3.0,4.0,4.0,3.75
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, News / Reading, Education","Social Media, Video / OTT, News / Reading, Education",Very often,Video ads,Education,Agree,Agree,Agree,Strongly agree,Yes,Skippable video ads,Evening,Yes,4.0,4.0,4.0,5.0,4.25
45+,Working professional,Female,Android,Less than 2 hours,"Social Media, Gaming, News / Reading","Social Media, Gaming, News / Reading",Rarely,Unskippable ads,Social Media,Agree,Agree,Agree,Disagree,No,Sponsored content,Afternoon,No,4.0,4.0,4.0,2.0,3.5
18–24,Student,Male,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Social Media, News / Reading, Education",Often,Unskippable ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,,,No,5.0,5.0,5.0,5.0,5.0
18–24,Working professional,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education","Social Media, Video / OTT, Shopping / E-commerce",Often,Video ads,Social Media,Neutral,Agree,Agree,Neutral,Yes,Skippable video ads,Afternoon,No,3.0,4.0,4.0,3.0,3.5
18–24,Student,Female,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming, Utility / Tools","Social Media, Video / OTT, Gaming",Very often,Video ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Rewarded ads,Late night,No,5.0,5.0,5.0,5.0,5.0
45+,Student,Prefer not to say,iOS,Less than 2 hours,"News / Reading, Utility / Tools, Education","News / Reading, Utility / Tools, Education",Rarely,Video ads,Education,Strongly disagree,Strongly agree,Neutral,Strongly agree,Yes,,Morning,No,1.0,5.0,3.0,5.0,3.5
45+,Other,Female,Android,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Video ads,Social Media,Agree,Agree,Agree,Neutral,No,Skippable video ads,Afternoon,No,4.0,4.0,4.0,3.0,3.75
18–24,Working professional,Male,Android,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Often,Unskippable ads,Social Media,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Yes,Skippable video ads,Morning,No,1.0,1.0,2.0,1.0,1.25
18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Gaming",Often,Sponsored posts,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Neutral,No,Skippable video ads,Late night,No,5.0,5.0,5.0,3.0,4.5
18–24,Student,Female,Android,4–6 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Education",Sometimes,Unskippable ads,Social Media,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Rewarded ads,Late night,Yes,1.0,1.0,1.0,1.0,1.0
Below 18,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming",Very often,Video ads,Video / OTT,Neutral,Neutral,Neutral,Neutral,Yes,Rewarded ads,Late night,Yes,3.0,3.0,3.0,3.0,3.0
25–34,Working professional,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Often,Unskippable ads,Gaming,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Evening,No,4.0,5.0,5.0,5.0,4.75
Below 18,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Education",Rarely,Unskippable ads,Education,Agree,Agree,Neutral,Agree,Yes,Rewarded ads,Late night,Yes,4.0,4.0,3.0,4.0,3.75
35–44,Self-employed,Male,iOS,2–4 hours,"Social Media, Gaming, Utility / Tools","Social Media, Gaming, Utility / Tools",Sometimes,Video ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,Yes,5.0,5.0,5.0,5.0,5.0
18–24,Student,Male,Android,Less than 2 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Sometimes,Unskippable ads,Video / OTT,Disagree,Disagree,Neutral,Neutral,No,Banner ads,Afternoon,No,2.0,2.0,3.0,3.0,2.5
18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Very often,Video ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,No,5.0,5.0,5.0,5.0,5.0
45+,Other,Prefer not to say,Android,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Very often,Sponsored posts,Social Media,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,,Late night,No,1.0,1.0,1.0,1.0,1.0
18–24,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming, News / Reading, Education","Social Media, Gaming, News / Reading",Rarely,Video ads,Video / OTT,Neutral,Strongly agree,Agree,Disagree,No,Sponsored content,Afternoon,No,3.0,5.0,4.0,2.0,3.5
18–24,Student,Female,Android,4–6 hours,"Social Media, Video / OTT, Utility / Tools","Social Media, Video / OTT, Utility / Tools",Often,Video ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Rewarded ads,Morning,No,5.0,5.0,5.0,1.0,4.0
18–24,Working professional,Male,Android,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Very often,Video ads,Social Media,Neutral,Neutral,Neutral,Disagree,Yes,Skippable video ads,Evening,No,3.0,3.0,3.0,2.0,2.75
Below 18,Student,Male,Android,2–4 hours,"Social Media, Gaming, Education","Social Media, Gaming, Education",Sometimes,Video ads,Social Media,Agree,Strongly agree,Strongly agree,Agree,No,Sponsored content,Evening,No,4.0,5.0,5.0,4.0,4.5
35–44,Working professional,Female,iOS,Less than 2 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Sometimes,Unskippable ads,Social Media,Strongly disagree,Neutral,Strongly disagree,Neutral,No,Sponsored content,Morning,No,1.0,3.0,1.0,3.0,2.0
18–24,Student,Male,Android,More than 6 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Education",Often,Sponsored posts,Social Media,Agree,Agree,Agree,Agree,Yes,Skippable video ads,Evening,No,4.0,4.0,4.0,4.0,4.0
18–24,Student,Male,Android,Less than 2 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Shopping / E-commerce, Education",Sometimes,Sponsored posts,Shopping / E-commerce,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Banner ads,Afternoon,Yes,2.0,1.0,1.0,1.0,1.25
45+,Working professional,Female,Android,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Education","Social Media, Shopping / E-commerce, News / Reading",Often,Unskippable ads,Video / OTT,Agree,Agree,Agree,Agree,Yes,Skippable video ads,Morning,No,4.0,4.0,4.0,4.0,4.0
45+,Working professional,Female,Android,Less than 2 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Often,Unskippable ads,Social Media,Agree,Agree,Agree,Agree,No,Skippable video ads,Morning,No,4.0,4.0,4.0,4.0,4.0
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, News / Reading","Social Media, Video / OTT, News / Reading",Often,Banner ads,Social Media,Neutral,Agree,Agree,Neutral,Yes,Sponsored content,Evening,No,3.0,4.0,4.0,3.0,3.5
45+,Working professional,Female,Android,More than 6 hours,"Social Media, Shopping / E-commerce, News / Reading","Social Media, Shopping / E-commerce, Education",Sometimes,Video ads,News / Reading,Strongly disagree,Neutral,Neutral,Neutral,No,Skippable video ads,Morning,Yes,1.0,3.0,3.0,3.0,2.5
25–34,Other,Female,Android,Less than 2 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Education",Sometimes,Sponsored posts,Video / OTT,Strongly agree,Agree,Agree,Strongly agree,Yes,Banner ads,Afternoon,No,5.0,4.0,4.0,5.0,4.5
18–24,Student,Female,Android,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Gaming",Rarely,Video ads,Video / OTT,Agree,Neutral,Agree,Neutral,No,Sponsored content,Evening,No,4.0,3.0,4.0,3.0,3.5
25–34,Self-employed,Female,Android,2–4 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading",Sometimes,Video ads,Video / OTT,Agree,Agree,Agree,Neutral,No,Skippable video ads,Late night,No,4.0,4.0,4.0,3.0,3.75
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Education",Sometimes,Video ads,Social Media,Neutral,Neutral,Neutral,Neutral,Yes,Rewarded ads,Morning,No,3.0,3.0,3.0,3.0,3.0
25–34,Working professional,Female,iOS,More than 6 hours,Video / OTT,"Social Media, Video / OTT, Gaming, News / Reading, Utility / Tools",Very often,Unskippable ads,Utility / Tools,Agree,Neutral,Strongly agree,Agree,Yes,,Afternoon,Yes,4.0,3.0,5.0,4.0,4.0
35–44,Other,Male,iOS,2–4 hours,"Social Media, News / Reading, Utility / Tools","Video / OTT, News / Reading",Sometimes,Banner ads,Utility / Tools,Disagree,Agree,Agree,Disagree,No,Skippable video ads,Late night,Yes,2.0,4.0,4.0,2.0,3.0
18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Banner ads,Shopping / E-commerce,Agree,Agree,Strongly agree,Agree,Yes,Skippable video ads,Late night,Yes,4.0,4.0,5.0,4.0,4.25
18–24,Student,Male,iOS,2–4 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming",Often,Video ads,Social Media,Agree,Agree,Agree,Strongly agree,Yes,Banner ads,Evening,No,4.0,4.0,4.0,5.0,4.25
45+,Working professional,Female,Android,2–4 hours,"Social Media, Shopping / E-commerce, News / Reading","Social Media, Shopping / E-commerce, News / Reading",Often,Video ads,Video / OTT,Agree,Agree,Strongly agree,Neutral,No,Sponsored content,Evening,No,4.0,4.0,5.0,3.0,4.0
25–34,Self-employed,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Very often,Video ads,Social Media,Neutral,Strongly disagree,Neutral,Neutral,Yes,Skippable video ads,Late night,Yes,3.0,1.0,3.0,3.0,2.5
25–34,Working professional,Female,Android,More than 6 hours,"Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Education","Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Education",Sometimes,Banner ads,Shopping / E-commerce,Neutral,Strongly agree,Disagree,Disagree,Yes,,Late night,No,3.0,5.0,2.0,2.0,3.0
18–24,Self-employed,Female,Android,2–4 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools",Often,Video ads,Education,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Banner ads,Evening,No,3.0,1.0,1.0,1.0,1.5
Below 18,Student,Male,Android,4–6 hours,"Social Media, Gaming, News / Reading, Utility / Tools","News / Reading, Utility / Tools",Very often,Video ads,Video / OTT,Agree,Strongly agree,Neutral,Strongly agree,Yes,Rewarded ads,Late night,Yes,4.0,5.0,3.0,5.0,4.25
25–34,Working professional,Male,Android,4–6 hours,Social Media,"Social Media, Gaming, News / Reading, Utility / Tools, Education",Sometimes,Rewarded ads,Social Media,Agree,Neutral,Strongly disagree,Agree,Yes,Sponsored content,Evening,Yes,4.0,3.0,1.0,4.0,3.0
45+,Working professional,Prefer not to say,iOS,4–6 hours,"News / Reading, Utility / Tools","Social Media, Shopping / E-commerce, Utility / Tools",Sometimes,Video ads,Video / OTT,Agree,Strongly disagree,Strongly disagree,Strongly agree,Yes,Skippable video ads,Afternoon,No,4.0,1.0,1.0,5.0,2.75
45+,Student,Male,iOS,2–4 hours,"Video / OTT, Shopping / E-commerce","Video / OTT, Gaming, Shopping / E-commerce, News / Reading",Sometimes,Video ads,Social Media,Strongly disagree,Neutral,Agree,Agree,Yes,Banner ads,Evening,No,1.0,3.0,4.0,4.0,3.0
45+,Other,Male,iOS,4–6 hours,"Social Media, Gaming, News / Reading, Utility / Tools, Education","Video / OTT, Gaming",Rarely,Unskippable ads,Video / OTT,Agree,Disagree,Strongly disagree,Strongly agree,Yes,Sponsored content,Afternoon,Yes,4.0,2.0,1.0,5.0,3.0
45+,Other,Female,Android,More than 6 hours,"Social Media, Gaming, Shopping / E-commerce, Utility / Tools","Social Media, Utility / Tools",Rarely,Video ads,Utility / Tools,Agree,Strongly agree,Strongly agree,Agree,Yes,,Late night,Yes,4.0,5.0,5.0,4.0,4.5
Below 18,Other,Female,Android,2–4 hours,"Social Media, Video / OTT, Gaming, News / Reading, Education","Gaming, Shopping / E-commerce, Utility / Tools",Very often,Video ads,Video / OTT,Strongly disagree,Strongly agree,Agree,Strongly agree,No,Skippable video ads,Late night,No,1.0,5.0,4.0,5.0,3.75
45+,Working professional,Prefer not to say,Android,More than 6 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools, Education","Video / OTT, Gaming, Shopping / E-commerce",Very often,Rewarded ads,Utility / Tools,Strongly agree,Strongly disagree,Agree,Agree,No,,Afternoon,No,5.0,1.0,4.0,4.0,3.5
18–24,Self-employed,Prefer not to say,iOS,More than 6 hours,"Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Video / OTT, Shopping / E-commerce, Education",Sometimes,Banner ads,Social Media,Strongly agree,Agree,Neutral,Agree,No,Banner ads,Evening,No,5.0,4.0,3.0,4.0,4.0
45+,Self-employed,Male,iOS,More than 6 hours,"Social Media, Education","Social Media, Shopping / E-commerce, Utility / Tools, Education",Often,Unskippable ads,Utility / Tools,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Yes,Sponsored content,Afternoon,Yes,1.0,5.0,1.0,5.0,3.0
45+,Student,Prefer not to say,Android,More than 6 hours,"Video / OTT, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, News / Reading",Rarely,Rewarded ads,Shopping / E-commerce,Agree,Agree,Strongly agree,Disagree,Yes,Banner ads,Late night,Yes,4.0,4.0,5.0,2.0,3.75
45+,Working professional,Female,iOS,Less than 2 hours,"Social Media, Video / OTT, Utility / Tools, Education","Social Media, Gaming, News / Reading, Education",Very often,Video ads,Social Media,Strongly disagree,Disagree,Neutral,Agree,No,Skippable video ads,Late night,Yes,1.0,2.0,3.0,4.0,2.5
Below 18,Self-employed,Female,iOS,4–6 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools, Education","Gaming, Education",Often,Rewarded ads,News / Reading,Strongly disagree,Neutral,Agree,Agree,Yes,,Afternoon,Yes,1.0,3.0,4.0,4.0,3.0
45+,Other,Prefer not to say,Android,More than 6 hours,"Social Media, Gaming, Shopping / E-commerce, Utility / Tools","Gaming, News / Reading, Utility / Tools",Rarely,Video ads,Video / OTT,Agree,Neutral,Strongly disagree,Strongly agree,Yes,Rewarded ads,Morning,Yes,4.0,3.0,1.0,5.0,3.25
25–34,Student,Prefer not to say,iOS,Less than 2 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Shopping / E-commerce, News / Reading, Education",Rarely,Unskippable ads,Utility / Tools,Agree,Strongly disagree,Neutral,Disagree,No,Banner ads,Late night,No,4.0,1.0,3.0,2.0,2.5
35–44,Other,Female,Android,More than 6 hours,"Video / OTT, Gaming, News / Reading, Education","Social Media, Utility / Tools",Rarely,Sponsored posts,Social Media,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Banner ads,Late night,No,4.0,1.0,1.0,1.0,1.75
25–34,Working professional,Male,Android,Less than 2 hours,"Gaming, Shopping / E-commerce, Utility / Tools","Video / OTT, Gaming, Shopping / E-commerce, Education",Rarely,Sponsored posts,Gaming,Strongly agree,Strongly disagree,Strongly disagree,Disagree,No,Rewarded ads,Afternoon,No,5.0,1.0,1.0,2.0,2.25
45+,Student,Male,Android,2–4 hours,"Social Media, Gaming, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools, Education",Often,Sponsored posts,Utility / Tools,Strongly disagree,Strongly agree,Neutral,Strongly agree,No,,Evening,No,1.0,5.0,3.0,5.0,3.5
45+,Student,Male,Android,Less than 2 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Video / OTT, Gaming, Education",Rarely,Sponsored posts,Shopping / E-commerce,Strongly agree,Strongly disagree,Neutral,Strongly disagree,No,Rewarded ads,Afternoon,No,5.0,1.0,3.0,1.0,2.5
25–34,Self-employed,Male,iOS,4–6 hours,"Social Media, Utility / Tools, Education","Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Education",Often,Rewarded ads,Social Media,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Yes,Banner ads,Late night,Yes,5.0,1.0,5.0,1.0,3.0
35–44,Working professional,Prefer not to say,Android,More than 6 hours,"Video / OTT, Gaming, News / Reading","Social Media, Gaming, Shopping / E-commerce, News / Reading, Education",Often,Unskippable ads,News / Reading,Strongly disagree,Strongly disagree,Disagree,Disagree,No,Sponsored content,Afternoon,No,1.0,1.0,2.0,2.0,1.5
45+,Other,Female,Android,2–4 hours,"Video / OTT, Gaming, Education","Social Media, Video / OTT, Education",Very often,Banner ads,Utility / Tools,Neutral,Strongly agree,Agree,Strongly agree,Yes,Banner ads,Afternoon,No,3.0,5.0,4.0,5.0,4.25
45+,Other,Female,Android,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce","Social Media, Video / OTT, Utility / Tools",Very often,Rewarded ads,Social Media,Neutral,Neutral,Neutral,Strongly disagree,No,,Afternoon,Yes,3.0,3.0,3.0,1.0,2.5
18–24,Self-employed,Female,Android,2–4 hours,"Social Media, Video / OTT, Gaming, Utility / Tools","Social Media, Video / OTT, Gaming, News / Reading, Education",Often,Sponsored posts,Utility / Tools,Disagree,Agree,Disagree,Agree,No,,Evening,No,2.0,4.0,2.0,4.0,3.0
Below 18,Working professional,Female,iOS,2–4 hours,"Social Media, Gaming, Shopping / E-commerce, Utility / Tools, Education","Video / OTT, Gaming, News / Reading, Utility / Tools",Very often,Rewarded ads,News / Reading,Disagree,Strongly disagree,Neutral,Disagree,No,Rewarded ads,Morning,Yes,2.0,1.0,3.0,2.0,2.0
25–34,Self-employed,Female,Android,2–4 hours,"Social Media, News / Reading, Utility / Tools, Education","Shopping / E-commerce, Education",Very often,Sponsored posts,Gaming,Neutral,Strongly agree,Strongly disagree,Strongly agree,No,,Evening,No,3.0,5.0,1.0,5.0,3.5
35–44,Student,Female,Android,More than 6 hours,"Social Media, Utility / Tools, Education","Social Media, Shopping / E-commerce, Utility / Tools",Very often,Rewarded ads,News / Reading,Agree,Strongly agree,Agree,Agree,No,,Late night,Yes,4.0,5.0,4.0,4.0,4.25
